                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1871,                 1.6927,                 1.2211,                0.85996,                0.64169,                0.70025,                0.45133,                    nan,                    nan,                    nan,               0.070023,              0.0033307,              0.0033307
                      2,                 1.1375,                 1.0446,                 1.1799,                0.82664,                 0.6325,                0.68315,                0.44414,                    nan,                    nan,                    nan,               0.039957,              0.0065981,              0.0065981
                      3,                 1.1928,                 1.0694,                 1.2108,                0.84322,                 0.6123,                0.66098,                0.42563,                    nan,                    nan,                    nan,              0.0098254,              0.0097995,              0.0097995
                      4,                 1.2081,                 1.0708,                 1.2273,                0.86815,                 0.6358,                0.69421,                0.46133,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      5,                 1.1605,                0.96469,                 1.2007,                0.88815,                0.65515,                0.70723,                0.48616,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      6,                 1.1175,                 0.8985,                 1.1737,                0.91092,                0.66877,                0.73161,                0.51275,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      7,                 1.0927,                0.84433,                 1.1605,                0.90228,                0.66288,                0.71832,                0.49852,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      8,                 1.0676,                0.81877,                 1.1477,                0.90519,                0.68384,                0.72821,                0.51427,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                      9,                 1.0458,                0.78579,                 1.1356,                0.91708,                0.67767,                0.72534,                 0.5178,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     10,                 1.0175,                 0.7541,                 1.1195,                 0.9149,                0.68673,                0.73248,                0.52639,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     11,                  1.005,                0.72893,                 1.1144,                0.91854,                0.68622,                0.73402,                0.52166,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     12,                0.98703,                0.70873,                 1.1027,                0.91599,                0.68351,                0.73118,                0.52912,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     13,                0.97361,                0.69199,                 1.0959,                0.91669,                0.69299,                0.73975,                0.54347,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     14,                0.97656,                0.69169,                 1.0969,                0.93334,                0.69351,                0.74282,                0.54748,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     15,                0.95575,                0.67098,                 1.0892,                0.91779,                0.69259,                0.73731,                0.53649,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     16,                0.94376,                0.65252,                 1.0791,                0.93129,                0.69481,                0.74597,                0.55975,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     17,                0.93305,                0.65123,                 1.0717,                 0.9205,                  0.698,                0.73738,                0.54853,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     18,                0.92137,                0.63379,                 1.0679,                0.93401,                0.69596,                0.75103,                0.56239,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     19,                0.91603,                0.62539,                 1.0639,                0.92175,                0.70065,                0.75304,                0.56292,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     20,                0.91384,                0.61933,                 1.0654,                0.93188,                0.70101,                0.75145,                0.56555,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     21,                0.90278,                0.61645,                 1.0585,                0.91856,                0.70121,                0.74403,                0.55698,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     22,                0.90248,                 0.6104,                 1.0583,                0.93061,                0.70218,                 0.7504,                0.56773,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     23,                0.89435,                0.59998,                   1.05,                0.93645,                 0.7013,                0.74986,                 0.5665,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     24,                0.88064,                0.59329,                 1.0471,                0.93314,                 0.7062,                0.74918,                0.56618,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     25,                0.87651,                0.57613,                 1.0462,                0.92819,                0.70739,                0.75414,                0.57187,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     26,                0.86554,                0.57448,                 1.0372,                0.93025,                0.70257,                0.74766,                0.56847,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     27,                0.87027,                0.57921,                 1.0402,                0.93899,                0.70061,                0.75095,                0.57045,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     28,                 0.8589,                0.55984,                 1.0341,                0.93801,                0.70745,                0.75663,                0.57912,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     29,                0.84955,                0.55742,                 1.0318,                 0.9343,                0.71317,                0.75985,                0.58131,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     30,                0.85352,                0.56388,                 1.0328,                 0.9326,                0.71025,                0.75866,                0.58301,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     31,                0.84167,                0.54894,                 1.0268,                0.93686,                0.70122,                 0.7515,                0.58029,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     32,                0.84167,                0.54803,                 1.0267,                0.93704,                0.70424,                0.75472,                0.58187,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     33,                0.84458,                0.54722,                 1.0257,                0.93023,                0.71354,                 0.7588,                0.58799,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     34,                0.83404,                0.54205,                 1.0233,                 0.9302,                0.71775,                0.76466,                0.59143,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     35,                0.82406,                0.52817,                  1.017,                0.93311,                0.71737,                0.76903,                0.60003,                    nan,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                     36,                0.82323,                0.53335,                 1.0208,                0.94135,                0.71484,                0.76404,                0.58984,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
